Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	File Offset (s)	Score	Tags
1	Channel 1	5	7.1	7.8995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	7.1	0.7	narw
2	Channel 1	5	8.2	9.6995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	8.2	0.71	narw
3	Channel 1	3	9	10.5995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	9	0.2	narw
4	Channel 1	3	9.2	11.3995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	9.2	0.12	narw
5	Channel 1	2	9.2	11.3995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	9.2	0.29	narw
6	Channel 1	2	10.9	12.9995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	10.9	0.5	narw
7	Channel 1	1	12	12.1995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	12	1	narw
8	Channel 1	5	17.4	17.4995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	17.4	1	narw
9	Channel 1	4	18	18.0995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	18	1	narw
10	Channel 1	2	19.5	20.0995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	19.5	0.99	narw
11	Channel 1	2	23.7	25.8995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	23.7	0.04	narw
12	Channel 1	5	24.2	24.6995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	24.2	0.99	narw
13	Channel 1	2	24.3	26.4995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	24.3	0.07	narw
14	Channel 1	2	24.5	26.6995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	24.5	0.08	narw
15	Channel 1	2	24.9	27.0995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	24.9	0.11	narw
16	Channel 1	3	25.1	26.5995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	25.1	1	narw
17	Channel 1	4	27.7	28.4995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	27.7	0.94	narw
18	Channel 1	3	31.8	33.8995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	31.8	0.1	narw
19	Channel 1	3	32.6	34.3995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	32.6	0.34	narw
20	Channel 1	4	33	35.1995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	33	0.38	narw
21	Channel 1	3	36.5	38.6995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	36.5	0.03	narw
22	Channel 1	1	40.2	42.3995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	40.2	0.07	narw
23	Channel 1	4	51.1	52.2995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	51.1	0.57	narw
24	Channel 1	3	54.3	55.4995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	54.3	0.6	narw
25	Channel 1	1	56.7	56.7995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	56.7	1	narw
26	Channel 1	2	60.9	62.8995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	60.9	0.14	narw
27	Channel 1	2	61.6	63.7995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	61.6	0.29	narw
28	Channel 1	5	62	62.1995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	62	1	narw
29	Channel 1	4	62.6	62.8995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	62.6	1	narw
30	Channel 1	2	64	64.6995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	64	0.99	narw
31	Channel 1	3	69.4	69.8995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	69.4	1	narw
32	Channel 1	3	69.6	71.7995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	69.6	0.72	narw
33	Channel 1	5	70.9	73.0995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	70.9	0.19	narw
34	Channel 1	3	74.6	76.7995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	74.6	0.24	narw
35	Channel 1	2	86.3	88.4995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	86.3	0.22	narw
36	Channel 1	2	86.6	88.7995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	86.6	0.23	narw
37	Channel 1	4	87.4	89.5995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	87.4	0.3	narw
38	Channel 1	4	87.7	89.7995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	87.7	0.35	narw
39	Channel 1	4	88.3	90.4995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	88.3	0.31	narw
40	Channel 1	2	91.9	94.0995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	91.9	0.44	narw
41	Channel 1	2	92.8	94.2995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	92.8	0.47	narw
42	Channel 1	5	93.5	93.7995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	93.5	1	narw
43	Channel 1	4	94.2	94.3995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	94.2	1	narw
44	Channel 1	4	96.8	97.9995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	96.8	0.73	narw
45	Channel 1	3	97	99.1995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	97	0.22	narw
46	Channel 1	2	97.8	98.6995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	97.8	0.91	narw
47	Channel 1	2	98.7	100.8995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	98.7	0.27	narw
48	Channel 1	2	99	101.0995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	99	0.25	narw
49	Channel 1	1	99.2	99.6995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	99.2	0.99	narw
50	Channel 1	3	99.5	99.7995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	99.5	1	narw
51	Channel 1	1	104.9	105.1995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	104.9	1	narw
52	Channel 1	2	110	112.0995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	110	0.44	narw
53	Channel 1	5	110.4	110.4995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	110.4	1	narw
54	Channel 1	4	110.8	111.1995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	110.8	1	narw
55	Channel 1	2	112.5	112.8995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	112.5	0.97	narw
56	Channel 1	2	113.5	115.5995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	113.5	0.42	narw
57	Channel 1	4	114	114.2995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	114	1	narw
58	Channel 1	5	114.8	115.2995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	114.8	1	narw
59	Channel 1	1	116	116.2995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	116	1	narw
60	Channel 1	5	117.7	119.7995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	117.7	0.09	narw
61	Channel 1	3	117.8	118.1995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	117.8	1	narw
62	Channel 1	5	118	120.0995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	118	0.69	narw
63	Channel 1	2	118.4	119.5995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	118.4	0.64	narw
64	Channel 1	1	121.2	121.2995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	121.2	1	narw
65	Channel 1	3	121.5	122.0995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	121.5	0.96	narw
66	Channel 1	5	126.5	126.6995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	126.5	1	narw
67	Channel 1	4	126.9	127.2995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	126.9	1	narw
68	Channel 1	2	129.1	130.1995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	129.1	1	narw
69	Channel 1	5	132.3	132.5995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	132.3	1	narw
70	Channel 1	3	134	134.3995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	134	1	narw
71	Channel 1	1	135.5	135.7995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	135.5	1	narw
72	Channel 1	4	136.9	137.2995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	136.9	1	narw
73	Channel 1	1	138.3	138.4995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	138.3	1	narw
74	Channel 1	3	138.6	138.8995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	138.6	1	narw
75	Channel 1	5	143.6	143.9995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	143.6	1	narw
76	Channel 1	1	143.7	143.9995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	143.7	0.99	narw
77	Channel 1	4	144.1	144.6995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	144.1	0.99	narw
78	Channel 1	2	145.5	146.4995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	145.5	0.75	narw
79	Channel 1	5	148.9	149.6995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	148.9	0.94	narw
80	Channel 1	4	149.6	150.3995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	149.6	0.88	narw
81	Channel 1	3	150.7	151.6995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	150.7	0.78	narw
82	Channel 1	2	158.7	160.5995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	158.7	0.39	narw
83	Channel 1	1	166.6	166.7995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	166.6	1	narw
84	Channel 1	5	171.6	172.3995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	171.6	0.93	narw
85	Channel 1	4	172.2	173.0995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	172.2	0.92	narw
86	Channel 1	1	175.6	177.7995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	175.6	0.15	narw
87	Channel 1	3	177.9	179.9995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	177.9	0.13	narw
88	Channel 1	3	178.7	180.2995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	178.7	0.57	narw
89	Channel 1	3	178.9	181.0995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	178.9	0.15	narw
90	Channel 1	1	190.3	192.1995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	190.3	0.7	narw
91	Channel 1	1	190.5	192.6995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	190.5	0.17	narw
92	Channel 1	1	190.8	192.8995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	190.8	0.52	narw
93	Channel 1	1	194.4	196.4995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	194.4	0.4	narw
94	Channel 1	1	195.4	196.7995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	195.4	0.54	narw
95	Channel 1	1	200.1	200.4995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	200.1	0.99	narw
96	Channel 1	5	205.2	205.8995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	205.2	0.97	narw
97	Channel 1	4	205.3	207.4995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	205.3	0.03	narw
98	Channel 1	2	206.6	208.3995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	206.6	0.39	narw
99	Channel 1	3	212.5	213.6995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	212.5	0.65	narw
100	Channel 1	5	212.7	214.8995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	212.7	0.16	narw
101	Channel 1	5	213	215.1995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	213	0.29	narw
102	Channel 1	5	213.3	215.3995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	213.3	0.24	narw
103	Channel 1	1	215.8	215.9995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	215.8	1	narw
104	Channel 1	5	220.9	221.5995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	220.9	0.99	narw
105	Channel 1	5	221.2	223.3995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	221.2	0.51	narw
106	Channel 1	4	221.3	222.0995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	221.3	0.93	narw
107	Channel 1	1	221.8	223.9995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	221.8	0.08	narw
108	Channel 1	2	222.3	224.3995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	222.3	0.3	narw
109	Channel 1	2	222.9	224.6995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	222.9	0.63	narw
110	Channel 1	3	228.2	229.1995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	228.2	0.72	narw
111	Channel 1	1	230.2	231.2995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	230.2	0.36	narw
112	Channel 1	5	234.9	237.0995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	234.9	0.15	narw
113	Channel 1	1	242.8	242.8995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	242.8	1	narw
114	Channel 1	5	247.9	248.3995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	247.9	0.99	narw
115	Channel 1	4	248.3	249.3995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	248.3	0.73	narw
116	Channel 1	2	249.6	250.8995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	249.6	0.56	narw
117	Channel 1	1	251.9	253.6995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	251.9	0.51	narw
118	Channel 1	1	252.5	254.2995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	252.5	0.65	narw
119	Channel 1	2	260.4	260.9995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	260.4	0.98	narw
120	Channel 1	2	260.6	262.7995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	260.6	0.51	narw
121	Channel 1	5	263.8	264.3995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	263.8	1	narw
122	Channel 1	1	265.1	265.7995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	265.1	0.99	narw
123	Channel 1	1	266.2	268.3995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	266.2	0.32	narw
124	Channel 1	4	267.4	269.2995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	267.4	0.48	narw
125	Channel 1	2	267.6	269.4995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	267.6	0.6	narw
126	Channel 1	2	267.9	270.0995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	267.9	0.52	narw
127	Channel 1	4	267.9	269.7995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	267.9	0.63	narw
128	Channel 1	2	268.2	270.3995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	268.2	0.33	narw
129	Channel 1	3	269.5	270.1995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	269.5	0.99	narw
130	Channel 1	5	270.5	272.6995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	270.5	0	narw
131	Channel 1	2	283	285.0995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	283	0.18	narw
132	Channel 1	1	283.4	283.5995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	283.4	1	narw
133	Channel 1	5	288.5	288.9995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	288.5	1	narw
134	Channel 1	5	288.7	290.8995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	288.7	0.12	narw
135	Channel 1	4	289.2	289.5995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	289.2	0.99	narw
136	Channel 1	2	289.8	290.7995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	289.8	0.87	narw
137	Channel 1	5	292.6	293.4995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	292.6	0.84	narw
138	Channel 1	1	292.8	294.6995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	292.8	0.34	narw
139	Channel 1	1	293.3	295.1995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	293.3	0.48	narw
140	Channel 1	3	295.9	296.6995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	295.9	0.97	narw
141	Channel 1	4	297	299.0995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	297	0.29	narw
142	Channel 1	3	298.1	299.1995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	298.1	0.83	narw
143	Channel 1	5	308.8	310.9995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	308.8	0.28	narw
144	Channel 1	1	314.5	315.5995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	314.5	0.78	narw
145	Channel 1	4	317.1	319.2995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	317.1	0.72	narw
146	Channel 1	1	317.5	317.6995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	317.5	1	narw
147	Channel 1	2	321.1	321.5995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	321.1	0.99	narw
148	Channel 1	4	323	323.7995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	323	0.93	narw
149	Channel 1	5	323	324.3995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	323	0.96	narw
150	Channel 1	2	324.7	325.5995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	324.7	0.87	narw
151	Channel 1	1	325.6	326.1995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	325.6	0.97	narw
152	Channel 1	4	328.4	329.5995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	328.4	0.84	narw
153	Channel 1	3	330.2	330.6995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	330.2	0.99	narw
154	Channel 1	2	341.9	342.8995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	341.9	0.79	narw
155	Channel 1	2	353	353.1995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	353	1	narw
156	Channel 1	5	356.2	356.5995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	356.2	0.99	narw
157	Channel 1	1	357.4	357.8995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	357.4	0.96	narw
158	Channel 1	4	360.4	361.0995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	360.4	0.94	narw
159	Channel 1	3	361.9	362.3995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	361.9	0.98	narw
160	Channel 1	2	370.8	372.3995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	370.8	0.52	narw
161	Channel 1	5	372.3	373.9995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	372.3	0.22	narw
162	Channel 1	1	373.9	374.0995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	373.9	1	narw
163	Channel 1	5	379	379.5995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	379	1	narw
164	Channel 1	4	379.7	380.1995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	379.7	0.99	narw
165	Channel 1	2	381.2	381.9995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	381.2	0.96	narw
166	Channel 1	3	384.5	386.5995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	384.5	0.31	narw
167	Channel 1	3	386.6	387.0995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	386.6	0.98	narw
168	Channel 1	2	393.5	393.5995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	393.5	1	narw
169	Channel 1	5	395.8	396.7995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	395.8	1	narw
170	Channel 1	1	397.9	398.2995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	397.9	0.99	narw
171	Channel 1	5	400.6	400.7995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	400.6	1	narw
172	Channel 1	4	401.1	401.4995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	401.1	1	narw
173	Channel 1	2	402.2	402.7995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	402.2	1	narw
174	Channel 1	3	402.6	402.6995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	402.6	1	narw
175	Channel 1	2	402.7	404.8995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	402.7	0.22	narw
176	Channel 1	2	403	405.1995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	403	0.26	narw
177	Channel 1	4	404.1	404.1995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	404.1	1	narw
178	Channel 1	1	404.1	406.2995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	404.1	0	narw
179	Channel 1	5	405.5	406.1995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	405.5	0.97	narw
180	Channel 1	1	408.5	409.0995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	408.5	0.99	narw
181	Channel 1	2	416	416.0995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	416	1	narw
182	Channel 1	5	416.1	416.2995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	416.1	1	narw
183	Channel 1	2	417.8	418.5995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	417.8	0.92	narw
184	Channel 1	3	418.1	418.2995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	418.1	1	narw
185	Channel 1	5	419.4	419.5995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	419.4	1	narw
186	Channel 1	4	419.5	419.8995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	419.5	0.99	narw
187	Channel 1	1	420.5	420.8995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	420.5	1	narw
188	Channel 1	3	421.9	423.1995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	421.9	0.34	narw
189	Channel 1	5	423.3	425.4995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	423.3	0.02	narw
190	Channel 1	4	423.7	424.0995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	423.7	1	narw
191	Channel 1	3	425.3	425.6995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	425.3	1	narw
192	Channel 1	3	429.4	431.5995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	429.4	0.63	narw
193	Channel 1	1	430.3	432.0995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	430.3	0.36	narw
194	Channel 1	1	430.5	432.6995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	430.5	0.61	narw
195	Channel 1	1	431.1	433.2995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	431.1	0.35	narw
196	Channel 1	2	439	439.2995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	439	1	narw
197	Channel 1	5	442.3	442.5995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	442.3	1	narw
198	Channel 1	1	443.8	443.8995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	443.8	1	narw
199	Channel 1	1	444.3	446.4995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	444.3	0.23	narw
200	Channel 1	1	444.6	446.7995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	444.6	0.27	narw
201	Channel 1	2	445.2	447.3995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	445.2	0.07	narw
202	Channel 1	5	445.3	445.8995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	445.3	1	narw
203	Channel 1	4	446.7	447.1995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	446.7	1	narw
204	Channel 1	3	448.1	448.3995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	448.1	1	narw
205	Channel 1	5	449	449.2995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	449	1	narw
206	Channel 1	4	449.6	449.8995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	449.6	0.99	narw
207	Channel 1	2	451.1	451.6995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	451.1	0.95	narw
208	Channel 1	3	456.4	456.9995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	456.4	1	narw
209	Channel 1	2	459.9	462.0995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	459.9	0.05	narw
210	Channel 1	2	460.2	462.3995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	460.2	0.64	narw
211	Channel 1	4	460.7	462.8995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	460.7	0	narw
212	Channel 1	4	461.4	463.4995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	461.4	0.03	narw
213	Channel 1	4	461.6	463.7995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	461.6	0.55	narw
214	Channel 1	2	462.7	463.0995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	462.7	1	narw
